"Notice Identifier","Notice Type","orgName",Status,"publishedDate",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
"AIRCRAFT ARRESTOR SYSTEMS SUPPORT - RHAG & PAAG",Contract,"MINISTRY OF DEFENCE",Awarded,2016-08-10T10:30:41Z,"Aircraft Arrestor Systems - RHAG & PAAG","Aircraft equipment. Repair, maintenance and associated services related to PAAG & RHAG Aircraft Arrestor Systems.
The Air Commodities Team has placed a 10 year contract to provide Support Solution for the provision of engineering support of Aircraft Arrestor Systems in use across the UK and Overseas at military air bases.",,,"South East","50600000 ","Matthew Cartwright",DESASAC-ComrclCI1b@mod.uk,"MOD Abbey Wood",,BRISTOL,BS348JH,England,,,,,,08/07/2016,07/07/2026,08/07/2016,NO,,No,No,No,Services,12578710,0,08/07/2016,23002479,"[MARSHALL LAND SYSTEMS|CAMBRIDGE
CB5 8RY|||No|No]",,08/07/2016,07/07/2026,"Negotiated ",
BIP46147159,Contract,"Ministry of Defence, C&C, Other",Awarded,2016-08-15T06:45:03Z,"RCDS Strategy Exercise and Contracted Support","The Royal College of Defence Studies (RCDS) is an eleven month post graduate course in international strategic studies, focused upon security, stability and prosperity at the grand strategic level of governmental decisions both nationally and within the international community.  The Members (as students are called), predominantly but not only from military backgrounds, are selected for their potential to reach the highest ranks of senior leadership and advisory posts in their own countries. As part of the core syllabus the RCDS runs two Strategic Exercises exposing its Members to the complexity of strategic analysis and formulation in two stages, enhancing their understanding of the requirements of strategy-making and developing their skills of strategic analysis and policy formulation.",,,London,"80510000 ","Aileen Young",DefComrclCC-HOCS2a2@mod.uk,"Room 2.1.02","Kentigern House",Glasgow,"G2 8EX",UK,+4412242423,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Glasgow: Specialist training services.'. ",01/09/2016,31/08/2019,22/07/2016,NO,,Yes,No,No,Services,253000,0,22/07/2016,253000,"[RAND Europe|Westbrook Centre
Milton Road
Cambridge
CB4 1YG|||No|No]",,01/09/2016,31/08/2019,"Restricted ",
CCCC16A40,Contract,"Crown Commercial Service",Closed,2016-08-15T15:37:30Z,"CCCC16A40 - Provision of Finance Systems Future Strategy Workshops","The MoD has a significant Oracle footprint e.g. throughout Finance, Military and Civilian Personnel systems. This has been implemented organically over a number of years through a series of incremental, mainly stand alone, projects. This has led to a footprint that is segmented over several sets of hardware, which means that business process flows are inherently dependent upon a large amount of interfaces which impact the smooth flow of data through the system and add unnecessary complexity.

The approach taken to date meets business requirements, though as the eBusiness Suite (eBS) is spread across disparate servers there has been limited ability to utilise the Commercial off the Shelf (CotS) workflow through the integration of eBS. The net result of the current deployed architecture is that there are inefficiencies in the use of applications and therefore in business process.

The release 2 of Contracting Purchasing and Finance (CP&F) on 20th October 2016 will span the Finance and Procurement applications estate. This will create opportunities, both to improve Business Process flows through CotS workflow and also System Data flows through CotS integration. Please note that HR and Payroll will remain on their own hardware and continue to provide finance related transactions (e.g. accounting impact of staff costs) to the DFMS.

The Planning, Budget and Forecasting (PB&F) process is mainly supported by Enterprise Planning, COGNOS functionality. The PB&F application is large and complex, and there are many “off-system” processes (e.g. Excel), that support the application. In addition the business process that PB&F supports is complex with many hand-offs between Head Office, and other MoD Departments. This in turn compounds the issues created by an over complex application. 
Director General Finance has established a Finance Transformation Programme to review the existing finance business processes and identify improvements. The Financial Management Strategy aligns to industry best practise that the Department should seek to continually improve the finance systems in incremental steps to deliver the improvements in the business process flows.",,,"Any region","75000000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCCC16A40 - Appendix C (2).docx CCCC16A40 - Appendix B Statement of Requirements (2).docx CCCC16A40 - Invitation To Tender Review.docx CCCC164A0 - Appendix A Terms of Participation.docx CCCC16A40 - Appendix E.xlsx CCCC16A40 - Appendix D Workshops (2).docx ",,"How to apply Instructions to Potential Providers:

Potential Providers must first be registered on the Crown Commercial Service e-Sourcing Suite in order to respond to the Procurement. If you have not yet registered on the e-Sourcing Suite, this can be done online at https://gpsesourcing.cabinetoffice.gov.uk by following the link ‘Register for CCS e-Sourcing’.

Please note that, to register, you must have a valid DUNS number (as provided by Dun and Bradstreet) for the organisation which you are registering, who will be entering into a contract if invited to do so at the Invitation to Tender stage. Potential Providers should note that it could take up to 10 working days to obtain a DUNS number.
Full instructions for registration and use of the system can be found at:
http://gps.cabinetoffice.gov.uk/i-am-supplier/respond-tender

Once you have registered on the e-Sourcing Suite, you will need to express your interest by emailing ExpressionOfInterest@Crowncommercial.gov.uk The dead line for expressing an interest in the Request for Information event is 11am on Thursday 25th August 2016.

Your email must clearly state:
 - name/reference of this procurement
 - the name of the registered supplier; and
 - the name and contact details

Crown Commercial Service will then process your registration and assign your organisation to the opportunity. The registered user will receive a notification email to alert them once this has been done.

It is advised however that Potential Providers register as soon as practically possible in order to receive the Invitation to Tender and have a sufficient amount of time to respond. Crown Commercial Service is not able to offer any extensions to the advertised procurement timetable.

For technical assistance on use of the e-Sourcing Suite please contact the
Helpdesk:
Freephone: 0345 010 3503
Email: supplier@Crowncommercial.gov.uk ",06/09/2016,05/12/2016,30/08/2016,NO,,Yes,Yes,No,Services,0,75000,,,,,,,"Other ",
"Provision of Fletcher License Renewals (RCA 113021)",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2016-08-24T14:55:39Z,"Provision of Fletcher License Renewals (RCA 113021)","The Ministry of Defence Military Corrections and Training Centre require the renewal and the support and maintenance agreement of their Fletcher software application (Syscon Justice Systems)",,,"Any region","48000000 ",,technology.operations@crowncommercial.gov.uk,"9th floor capital building","Old Hall Street",Liverpool,"L3 9PP",England,,,"REDACTED Framework Award Letter FLETCHER.pdf ",,"THIS CONTRACT HAS ALREADY BEEN AWARDED AND IS BEING PUBLISHED FOR TRANSPARENCY PURPOSES ONLY ",30/08/2016,29/08/2017,09/08/2016,NO,,Yes,No,No,Products,0,0,16/08/2016,54486,"[comparex UK Limited|87 West Street Powerhouse, Middlesex, Harrow-on-the-Hill HA1 3EL|||No|No]",,30/08/2016,29/08/2017,"Restricted ",
DTEC/180/02/PHASE2,Contract,"MINISTRY OF DEFENCE",Awarded,2016-08-31T13:52:54Z,"SBRI Challenge - Enhanced Equipment Protective Equipment (EIPE)-Phase 2","Development of a glove to protect military personnel from injuries whilst on operations. The work has two main strands, firstly to provide sufficient scientific data to allow the customer to produce a requirement document and specification which allows commercial competition in the procurement of the glove. Secondly the work is to develop a hand protection system that meets the requirement.",,,"South West","73110000 ",,DESTECH-COMRCL-CP2@MOD.UK,"DTECH COMMERCIAL","ELM 1c #4130, AbbeyWood",Bristol,"BS34 8JH",England,,,"DTEC 180-02 SBRI-redacted.docx ",,,01/07/2016,30/06/2017,16/06/2016,NO,,Yes,No,No,Services,113057,347868,23/06/2016,196291,"[Armourgel Ltd|83 Campden Hill Towers
Notting Hill Gate
London
W11 3QP|||No|No]",,01/07/2016,30/06/2017,"Other ",
DTEC/241,Contract,"MINISTRY OF DEFENCE",Awarded,2016-09-02T14:38:54Z,"The Continued Presentation and Delivery of the System Safety Executive Module","1.	The contractor shall refresh and develop material to enable the delivery of a 1 day System Safety Executive Training Workshop to an audience of Director Level (1*) staff within DE&S.

2.	Target audience – Director, Senior Manager and / or Duty Holder with responsibillities for delivery and support of military systems.

3.	Content to cover and include (but not limited to):
a.	Executives need to understand their responsibilities and accountability within the law and MOD policy, general and that specific to their area of work. They should understand the goals of the organisation, the means by which it recognises risks and manages them. Be able to provide leadership and take a proactive approach in ensuring a high level of System Safety performance within their area of responsibility.
b.	Specific Topics:
i.	Understanding ALARP
ii.	Risk Management
iii.	DE&S risk referral process
iv.	MOD and DE&S Duty Holder Contruct
v.	Duty Holder responsibilities
vi.	Legal Duties
vii.	Environmental considerations and impacts
viii.	Safety Leadership & Culture

4.	Development of the workshop content shall be produced 3 weeks from Contract Award with an electronic copy (powerpoint format) or the course content delivered.

5.	The contractor shall deliver 6 workshops based on the success of those held in 2014 and 2015 (maximum of 12 candidates per workshop)  / Dates to be agreed with the Authority’s Project Manager, but all courses shall be delivered by the end of March 2017.

6.	The Contractor will not be required to provide facilities provision or candidate booking.",,,"South West","80500000 ",,DESTECH-Comcrl-CP2@MOD.UK,"DTECH, Elm 1c, #4315,",Abbeywood,Bristol,"BS34 8JH",England,,,,,,06/09/2016,31/03/2017,23/08/2016,NO,,Yes,No,No,Services,12434,0,17/08/2016,12434,"[Safety Assurance Services Ltd|Pinions Dene Close
Lower Bourne
Farnham Surrey
GU10 3PP|||No|No]",,06/09/2016,31/03/2017,"Other ",
BIP46799374,Contract,"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",Awarded,2016-09-10T09:12:04Z,"CBRN/00215 APED In-Service Support","The Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT) has a requirement to sustain Aircrew Protective Equipment for a period of 4-5 years commencing Jan 17.
The equipment is used by aircrew flying battlefield support helicopters, providing each crewman with a bespoke MAHIS (Military Aircrew Helmet Impact Standard) compliant flight helmet integrated to a Faceshield Respirator (FSR) and a Manside System (comprising a CBRN Air Filter, Blower, Battery and Battery Interface assemblies). This equipment provides the equipped aircrew with a CBRN respirator system integrated with, but operating independently of the aircraft’s systems.",,,"South West","35813000 ",,DESCBRN-Comrcl-CP3@mod.uk,"Yew 3A #1342","MOD Abbey Wood",Bristol,"BS34 8JH",UK,+443067985447,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Bristol: Military helmets.'. ",01/03/2017,01/03/2021,06/09/2016,NO,,No,No,No,Services,3166000,0,06/09/2016,3166000,"[Crew Systems Corporation|10 Enterprise Drive
Carbondale
PA 18407
|||No|No]",,01/03/2017,01/03/2021,"NotSpecified ",
BIP45922254,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2016-09-10T14:30:00Z,"The repair of High Pressure Pure Air Systems as fitted to Challenger 2","The Repair of the High Pressure Pure Air Systems as fitted to the Challenger 2 Platform. The authority reserves the right to include other military platforms during the lifetime of the contract.
Babcock DSG, acting as an Agent on behalf of the UK Ministry of Defence has a potential requirement to place a four year Framework Agreement with the possibility of a further two, one year options.

The successful Contractor will be required to repair Articles as per OEM Specification with an accompanying Certificate of Conformance detailing results of output tests.  The successful Contractor will be required to supply all spares/components necessary to undertake the repair process.

Examples of the equipment currently in scope but is not limited to, are as follows:

2590997608657	COMPRESSOR PACK			
2590990112563	COOLANT SUPPLY			
4310998143775	COMPRESSOR			
4730993827116	TRAP, OIL AND GAS			
4440996239609	CLEANING COLUMN, GAS			
4730997017151	MANIFOLD, AIR LINE			
4910993612542	COOLER SUPPLY UNIT (CSU) TEST SET

The authority reserves the right to add items of a similar nature to the contract during its lifetime",,,"West Midlands","50630000 ",,lorna.wright@babcockinternational.com,"Babcock DSG Ltd","Building B15",Telford,"TF2 8JT",UK,+441952673986,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Telford: Repair and maintenance services of military vehicles.'. ",01/11/2016,31/10/2020,07/10/2016,NO,,Yes,No,No,Services,8000000,15200000,,,,,,,"Restricted ",
BIP39040995,Contract,"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",Closed,2016-09-11T08:09:03Z,"Principal Support Provider (PSP) – Overseas’ (incl. Commercial Project Management (CPM) and Specialist Advisory (SA) Services)","
Text to be corrected in the original notice:
Place of text to be modified: IV.3
Instead of: Foreign Commonwealth Services (FCOS)
Read: REMOVED
Other additional information: Please Note: This Addendum supersedes the previous access code of 6Z94UQFN3E (stated below) with the new access code of Z8JE3AV6G5

All other aspects of the notice remain unchanged.

Please Note: It is the intention to hold an Industry before PQQ return, this scheduled for 13:00 hours on 26 September 2016 at:
Chetwynd Barracks, 
Chilwell,
Nottingham,
NG9 5HA

Please see the PQQ Guidance for Potential Suppliers Booklet - Section 29 for further details.

Please Note: That the Section IV (3) Annex: List of Demanding Authorities, has been revised to remove Foreign Commonwealth Office Services (FCOS)
Tasks to include but not limited to the following: Contract Administration, 
Project Management:
Construction Project Management, Programme Management, Risk Management, Value Engineering and Management, Project Planning, Quality Management, Performance Measurement, Design Management. 
Professional and Technical Design Services, 
Architecture, Building Conservation, Building Control, Mechanical Engineering, Electrical Engineering, Civil Engineering, Structural Engineering, Blast Engineering, Seismic Engineering, Energy Conservation, Environmental Services, Facility Management Advice, Cost Engineering, Claims and Forensic Services Data Acquisition, Data Management, Health & Safety and Quantity Surveying, Professional Inspections, 

This Framework Agreement will incorporate works at any MoD establishment Overseas, including but not limited to:-

•	Cyprus

•	Gibraltar

•	Falkland Islands

•	Ascension Islands 

•	Kenya

•	Singapore

•	Belize

•	Norway

•	Canada

•	Broader Middle East

•	Military Operational Theatres/Works Areas

and

Foreign and Commonwealth Office (FCO) Overseas Estate:
The Foreign and Commonwealth Office estate is a unique and highly diverse public asset with over 4600 properties, primarily overseas. The FCO operates in 268 overseas locations, covering 156 countries and 12 overseas territories. Approximately 13,000 staff work for the FCO, other UK Government Departments, and Partners Across Government, in premises on the overseas estate (known as the One HMG platform). A majority of these staff are accommodated in diplomatic offices, residences and staff accommodation, but maybe be located in other associated premises.

And

Projects associated with the Department for International Development (DFID). DFID have offices in 28 countries but cover additional country development needs out of those offices or from our London or Scottish HQ offices.
Any of the DFID operating locations may require construction, infrastructure or capital works programmes to support their programmes. 

DFID Operating Countries
-	East and Central Africa
o	Ethiopia
o	Kenya (covering Somalia)
o	Rwanda
o	S Sudan
o	Sudan
o	Tanzania
o	Uganda
",,,Scotland,"72224000 71310000 71541000 ",,DIOComrcl1a2@mod.uk,"DIO Commercial","Kentigern House",Glasgow,"G2 8EX",UK,+441412248335,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Glasgow: Construction project management services.'. ",23/06/2017,24/06/2021,07/10/2016,NO,,No,No,No,Services,25000000,50000000,,,,,,,"Restricted ",
BIP46809375,Contract,"Ministry of Defence, C&C, Other",Closed,2016-09-13T06:21:00Z,"DE-BIELEFELD: CB/BFG/0120 - Supply of Industrial Gases to BFG","British Forces Germany (BFG) require a range of gaseous products to set specifications, over a 3 year period on a call-off basis,  to be supplied in Provider-owned cylinders leased to the Authority. The Provider will be required to deliver and collect cylinders to/from British military barracks within North-Rhine-Westphalia and centred on Paderborn, Bielefeld, Gütersloh and Sennelager. Delivery of cylinders when ordered will be required within one working week. The method of payment will be the Authority’s electronic Purchase to Payment system.  Cylinders required are anticipated as follows, but usage is not guaranteed, nor is this list exhaustive:

1	 Oxygen  - water capacity per litre - 10 - estimated usage per annum -  2
2	 Oxygen  - water capacity per litre - 20 - estimated usage per annum -  1
3	 Oxygen  - water capacity per litre - 50 - estimated usage per annum -  25
4	 Nitrogen - water capacity per litre - 10 - estimated usage per annum -  2
5	 Nitrogen - water capacity per litre - 20 - estimated usage per annum -  4
6	 Nitrogen - water capacity per litre - 50 - estimated usage per annum -  12
7	 Compressed air EN 12021 - water capacity per litre - 50 - estimated usage per annum -  4
8	 Compressed air  - water capacity per litre - 10 - estimated usage per annum -  1
9	 Argon  - water capacity per litre - 10 - estimated usage per annum -  8
10	 Argon  - water capacity per litre - 20 - estimated usage per annum -  2
11	 Argon  - water capacity per litre - 50 - estimated usage per annum -  4
12	 5% C02, 4% 02/Ar  - water capacity per litre - 50 - estimated usage per annum -  2
13	 5% C02, 4% 02/Ar  - water capacity per litre - 10 - estimated usage per annum -  2
14	 5% C02, 4% 02/Ar  - water capacity per litre - 20 - estimated usage per annum -  12
15	 5% C02, 4% 02/Ar  - water capacity per litre - 50 - estimated usage per annum -  6
16	 Acetylene  - water capacity per litre - 20 estimated usage per annum -  1
17	 Acetylene  - water capacity per litre - 48 - estimated usage per annum -  16
18	 Propane (liquid gas)  - water capacity per litre - 33 - estimated usage per annum -  1
19	 Carbon dioxide   - water capacity per litre - 13 - estimated usage per annum -  2
20	 Carbon dioxide  - water capacity per litre - 20 - estimated usage per annum -  6

The Contract Award criteria will be based on the lowest priced commercially and technically compliant bid with price judged by cylinder, rent per day, delivery and any other attributable charges, across the above range of gaseous products based on estimated annual usage. This is a sample only, for evaluation purposes and it is not to be assumed that the Authority would order this exact volume. Any questions which are indicated as Mandatory in the subsequent Tender documentation and are answered 'NO' will be deemed as technically non-compliant and therefore unacceptable.",,,"Any region","09120000 ","Maggie Sawade",ArmyComrcl-BFG-Proc4@mod.uk,"Army Commercial,","Bldg 5, Catterick Kaserne",Bielefeld,33605,DE,+4952192542489,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'DE-BIELEFELD: CB/BFG/0120 - Supply of Industrial Gases to BFG'. ",03/01/2017,31/12/2019,23/09/2016,NO,,Yes,No,No,Products,10000,113000,,,,,,,"Open ",
BIP47463557,Contract,"Ministry of Defence, C&C, Other",Awarded,2016-09-29T11:03:00Z,"GB-swindon: The design, supply, delivery, and installation of laser safety equipment necessary to create a Laser Controlled Area (LCA)","1.	The Ministry of Defence (MoD) has a requirement for the design, supply, delivery, and installation of safety equipment necessary to create a Laser Controlled Area (LCA) within one of the laboratory spaces used by the Nuclear Department. 

2.	The Nuclear Department owns a Class 4 Laser which can be used to image water flowing in an acrylic channel. The laser will be operated in the ND Irradiation Facility in a room which is shared with other scientific equipment. To allow simultaneous use of the facility, which is a requirement, a Laser Controlled Area must be established in accordance with JSP 390 – Military Laser Safety.   As this system will be operated in a laboratory environment, the most relevant section is JSP 390 Volume 1 Issue 3 Section 3.

3.	The expected engineered solution is described in paragraph 4 however, other solutions that satisfy the requirements will also be considered.

4.	It is expected that the most cost effective way to establish the LCA is to divide the room into two areas using a laser blocking material which must comply with IEC 60825-4:2006 in the pitched roof space and a curtain, complying to the same specification, hanging below the trusses. The curtain is to be attached at each end to walls by an interlocked connection. Above the curtain, a laser blocking material must be used to fill the spaces between trusses which support the roof. A new interlock system is also required to replace the existing obsolete system.  The new system should allow for a short, timed,  interlock override to allow safe ingress/egress from the area while the laser is functioning (often the laser will need to run continuously for hours at a time to generate data).  In addition, the new interlock should be connected to external signs which indicate the state of the laser to anyone outside the laser controlled area.  Personal Protective Equipment (Eyewear) is also required for 5 people (based on the instructor plus 4 students). 

5.	The MoD will require a full description and “rough” drawing to be submitted at the tender stage to identify the proposed solution and safety functionality.

6.	The Authority envisages a need for a brief site survey to enable potential suppliers to inspect the facility and compile accurate measurements of the installation site. This is planned to take place on 15 Feb 16 13:30.

7.	The Authority has the desire for delivery and installation by the end of Mar 2016

Full details of the requirements for the Supply, Delivery and Installation of Safety Equipment for a Laser Controlled Area (LCA) will be included in the tender documents.

Please note it is MOD policy to make payment via Purchase to Payment (P2P).",,,"South East","35113000 ","Diane Campbell",dcampbell.hq@defenceacademy.mod.uk,"Defence Academy","Greenhill House",Swindon,"SN6 8LA",UK,01793314724,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'GB-swindon: The design, supply, delivery, and installation of laser safety equipment necessary to create a Laser Controlled Area (LCA)'. ",15/03/2016,15/04/2016,14/03/2016,NO,,No,No,No,Products,13782,0,14/03/2016,13782,"[Lasermet Ltd|Lasermet House
137 Hankinson Road
Bournemouth
BH9 1HR|||No|No]",,15/03/2016,15/04/2016,"Open ",
BIP43881128,Contract,"Ministry of Defence, Ships, Commercially Supported Shipping (CSS) Team",Closed,2016-10-01T14:09:04Z,"Supply of Two-Man Collapsible Craft, Paddles, Spares and Associated Ancillaries","The Commercially Supported Shipping (CSS) team has a requirement to replace the existing fleet of two-man collapsible kayaks/canoes. It is envisaged that the solution will be Commercial Off The Shelf (COTS) / Military Off The Shelf (MOTS). 
Crafts will be supplied with a removable electric propulsion motor system and collapsible paddles and ancilliaries. 
Additionally, the contract will include, but not limited to: the provision of codified spares and replenishment of :-
two-man collapsible craft ;
removable electric propulsion motor systems;
collapsible paddles; and 
ancilliaries 
for up to seven years after contract placement.",,,"South West","34522300 34522550 ",,DESShipsComrcl-CSS-3b1a@mod.uk,"Abbey Wood","Ash 2a #3203",Bristol,"BS34 8JH",UK,+443067987134,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Bristol: Canoes.'. ",13/03/2017,31/03/2022,01/11/2016,NO,,Yes,No,No,Products,1500000,0,,,,,,,"Negotiated ",
"RTL 055P",Contract,"N E L Commissioning Support Unit",Closed,2016-10-17T18:40:23Z,"RTL055P - Veterans' Mental Health Services (2017)","RTL055P - Veterans' Mental Health Services 2017 
Following the publication of the engagement work in relation to veterans mental health services NHS England is looking to secure providers to deliver a comprehensive veterans’ mental health service across England from April 2017. 

The Transition, intervention and liaison service for veterans will offer: 

• A service for those in transition – offering assessment and therapeutic mental health services for those who are in the process of leaving the armed forces; 
• A service for veterans with complex presentations – offering case management, co-ordination and care for those veterans with complex presentations including those who have suffered significant psychological trauma where a military understanding would be beneficial; 
• A general service for veterans - offering navigation and liaison support to other services to ensure that veterans receive appropriate care. 
Providers must be capable of delivering the service across a wide geography which may include through a lead or prime contractor model. 
Providers must also demonstrate how they will link with appropriate and relevant third sector organisations to ensure that the needs of veterans are met. 
This procurement is split into 4 (four) geographical Lots. 
Lot 1 - North
Lot 2 - Midlands & East
Lot 3 - South East & London
Lot 4 - South Central & South West

NHS England will seek to award one contract for each of the tender Lots.

Bidders are able to bid for any number or combination of the Lots. However, following ITT evaluation, NHS England will not award any Bidder more than one Lot.

The contract duration is an initial period of 36 months (3 years) followed by an option extension of a further 24 months (2 years). Therefore the full, extended, duration of the contracts will be a maximum of 60 months (5 years).

The contract values vary per Lot. See documentation for details. The higher value in this advert relates to the full extended contract value of all 4 Lots combined (Ex VAT).

See procurement documentation (PQQ) for more details. 

Interested Bidders must access the PQQ documentation via the link provided and submit a PQQ response via the online questionnaire on the e-Tendering portal ""ProContract"" before the submission deadline of 4th November 2016 at 12:00 (noon).

NHS England will adopt the Restricted procedure as a template for this procurement. However, the Services to which this PQQ relates fall within Schedule 3 to the Public Contracts Regulations 2015 (the Regulations).  Neither the publication of the advertisement, the use of a PQQ stage, nor the use of the term “Restricted Procedure” nor any other indication (including any statement in this advert or the PQQ documentation) shall be taken to mean that the Authority intends to hold itself bound by any of the Regulations, save those applicable to procurements under the Light Touch Regime (LTR).",,,"Any region","85000000 ","Barend Henning",barend.henning@nelcsu.nhs.uk,"Skipton House","80 London Road",London,"SE1 6LH",England,,https://procontract.due-north.com/Advert?advertId=3776aae3-4794-e611-8120-000c29b10fea,"ProContract Help Page Details 141016.docx ","https://procontract.due-north.com/Advert?advertId=3776aae3-4794-e611-8120-000c29b10fea ","If you are not already registered on the portal you will need to register. Guidance on how to register is attached. Once registered, you will need to navigate to ""Current Opportunities"". Within this area there is a project called “RTL055P Veterans Mental Health Services (2017)”. Click the link for the opportunity (shown in the ""Links"" section of this advert) and in the right hand box on the screen titled: “Expression of Interest Window”, please log-in and register your interest in this opportunity. Follow the instructions to express an interest. You should then receive two emails; 1: advising that you have successfully registered your interest, 2: advising you that the documents are now available to download. You will then need to use the portal to access and download the PQQ documentation. Please note that by expressing an interest you are NOT committing yourself to submit a bid. Please see Pro-Contract ""Help"" attachment for further information and instructions on expressing an interest, navigating to the PQQ stage of the portal to access the documentation and submitting a questionnaire response.

Questions should be directed via the messaging facility on the portal in the first instance. ",01/04/2017,31/03/2020,04/11/2016,NO,,Yes,Yes,No,Services,1314000,13500000,,,,,,,"Restricted ",
BIP48184163,Contract,"Ministry of Defence, Land Equipment, Operational Support Vehicle Programme (OSVP)",Closed,2016-10-23T09:27:04Z,"Conventional Vehicle Solutions (CVS)  'B' Vehicles Post Design Services Contract","Repair and maintenance services of military vehicles.",,,"South West","50630000 ",,desleosp-osvp-comrcl-sp2@mod.uk,"Spruce 3c, #1309","MOD Abbey Wood",BRISTOL,"BS34 8JH",UK,+443067987020,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-BRISTOL: Repair and maintenance services of military vehicles.'. ",01/04/2017,31/03/2019,01/04/2017,NO,,Yes,No,No,Services,12000000,0,,,,,,," ",
BIP47548517,Contract,"Ministry of Defence, Defence Medical Services",Closed,2016-11-03T14:48:04Z,"GB-Lichfield: The Provision of Orthodontic Consultant Cover","Defence Primary Healthcare require a Defence Consultant Advisory Service to work in our secondary care referral centre based in Aldershot. The role requires working as part of a successful team who provide a comprehensive range of multi-disciplinary treatment options for the rehabilitation of service personnel.
 
Clinician required one morning session 0800-1230 per calendar month (date by mutual agreement) for treatment planning in conjunction with our full time restorative and visiting maxillofacial consultants and to oversee orthodontic treatment carried out by MOrth qualified specialist clinicians.  

Our orthodontists currently utilise MBT mechanics and are supported by high quality in house technicians. We have a high throughput of adult multidisciplinary patients from across the Royal Navy, Army and Air Force along with the children of those who serve overseas have treatment planned and co-ordinated from the central Aldershot hub, with the occasional use of videoconferencing to provide advice to remote locations.     

All applicants must hold an in date DBS certificate, pass the MOD security clearance checks, hold appropriate indemnity insurance, meet all appropriate occupational health requirements and hold a current NHS orthodontic consultant contract. Comprehensive induction package to enable effective work within the military environment, this will not involve any physical activity.

The term of the contract is for an initial 3 year period with an optional, up to, 24 month extension.

Estimated total value excluding VAT: 6,000 GBP per annum.

The Award Criteria is set out within the procurement documents.",,,"Any region","85131100 ","Kelvin Edwards",DefComrclCC-JFC6c1@mod.uk,"DMS Whittington",,Lichfield,"WS14 9PY",UK,+441543434723,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'GB-Lichfield: The Provision of Orthodontic Consultant Cover'. ",01/02/2017,31/01/2022,08/12/2016,NO,,Yes,Yes,No,Services,10000,113000,,,,,,,"Open ",
